"Row #","Style Name","AI Drive Link","Generation Prompt"
"1","Studio Ghibli","https://www.genspark.ai/aidrive/files/style_examples/01_studio_ghibli.jpg","Beautiful Studio Ghibli style artwork, soft watercolor textures, whimsical fantasy elements, rolling hills, magical creatures, detailed character design in Hayao Miyazaki animation style, cel-shaded rendering, warm lighting, enchanted forest background, dreamy atmosphere"
"2","Miyazaki Style","https://www.genspark.ai/aidrive/files/style_examples/02_miyazaki_style.jpg","Miyazaki animation style, hand-drawn 2D animation, traditional cel animation techniques, detailed character expressions, flowing hair and clothing, nature-inspired backgrounds, soft color palette, emotional storytelling through visual design, Japanese animation aesthetics"
"3","Cyberpunk","https://www.genspark.ai/aidrive/files/style_examples/03_cyberpunk.jpg","Cyberpunk futuristic style, neon lights, dark urban atmosphere, high-tech low-life aesthetic, glowing circuits, holographic displays, chrome and metal textures, rain-soaked streets, dramatic lighting, dystopian cityscape, digital punk fashion"
"4","Y2K Aesthetic","https://www.genspark.ai/aidrive/files/style_examples/04_y2k_aesthetic.jpg","Y2K millennium aesthetic, chrome metallic surfaces, iridescent colors, translucent materials, futuristic optimism, digital glitch effects, holographic textures, space-age design elements, early 2000s nostalgia, technological utopian vibes"
"5","Vaporwave","https://www.genspark.ai/aidrive/files/style_examples/05_vaporwave.jpg","Vaporwave aesthetic, synthwave retro style, pink and purple gradient backgrounds, geometric shapes, 80s nostalgia, neon grids, classical statues, Japanese text, glitch art effects, dreamy surreal atmosphere, vintage computer graphics"
"6","Cottagecore","https://www.genspark.ai/aidrive/files/style_examples/06_cottagecore.jpg","Cottagecore aesthetic, rustic countryside charm, cozy cottage vibes, wildflower meadows, vintage floral patterns, handmade crafts, sustainable living, soft earth tones, pastoral scenes, romantic rural lifestyle, gentle natural lighting"
"7","Dark Academia","https://www.genspark.ai/aidrive/files/style_examples/07_dark_academia.jpg","Dark academia aesthetic, gothic architecture, vintage libraries, scholarly atmosphere, tweed and leather textures, candlelit study rooms, antique books, classical art, moody lighting, intellectual sophistication, autumn color palette"
"8","Anime/Manga Style","https://www.genspark.ai/aidrive/files/style_examples/08_anime_manga.jpg","Anime manga style illustration, large expressive eyes, detailed hair rendering, dynamic poses, cell-shaded coloring, vibrant colors, Japanese comic book aesthetics, character-focused design, emotional expressions, clean line art"
"9","Pixar 3D Animation","https://www.genspark.ai/aidrive/files/style_examples/09_pixar_3d.jpg","Pixar 3D animation style, high-quality computer graphics, stylized character design, warm emotional storytelling, detailed texture work, vibrant color schemes, family-friendly appeal, professional 3D rendering, cinematic lighting"
"10","Art Nouveau","https://www.genspark.ai/aidrive/files/style_examples/10_art_nouveau.jpg","Art Nouveau style, flowing organic lines, floral motifs, elegant curved designs, decorative patterns, vintage poster aesthetics, natural forms inspiration, ornamental details, golden age illustration, sophisticated artistic movement"
"11","Minimalism","https://www.genspark.ai/aidrive/files/style_examples/11_minimalism.jpg","Minimalist design style, clean simple lines, negative space usage, monochromatic color schemes, geometric shapes, modern aesthetic, less-is-more philosophy, contemporary art approach, refined simplicity, sophisticated restraint"
"12","Maximalism","https://www.genspark.ai/aidrive/files/style_examples/12_maximalism.jpg","Maximalist style, bold vibrant colors, rich detailed patterns, eclectic mix of elements, layered textures, ornate decorations, more-is-more philosophy, expressive abundance, dynamic visual complexity, artistic exuberance"
"13","Steampunk","https://www.genspark.ai/aidrive/files/style_examples/13_steampunk.jpg","Steampunk aesthetic, Victorian era technology, brass and copper machinery, clockwork mechanisms, industrial design elements, retro-futuristic inventions, steam-powered devices, vintage scientific instruments, alternative history vibes"
"14","Synthwave/Retrowave","https://www.genspark.ai/aidrive/files/style_examples/14_synthwave_retrowave.jpg","Synthwave retrowave style, neon pink and blue colors, 80s nostalgia aesthetic, digital grid backgrounds, sunset gradients, retro futuristic elements, electronic music visuals, vintage computer graphics, cybernetic atmosphere"
"15","Pop Art","https://www.genspark.ai/aidrive/files/style_examples/15_pop_art.jpg","Pop art style, bold primary colors, comic book aesthetics, halftone dot patterns, celebrity culture references, commercial art techniques, Andy Warhol inspired, mass media imagery, contemporary culture commentary, graphic design elements"
"16","Watercolor","https://www.genspark.ai/aidrive/files/style_examples/16_watercolor.jpg","Watercolor painting style, soft flowing pigments, transparent color washes, organic bleeding effects, artistic brush strokes, delicate color transitions, traditional medium techniques, gentle artistic expression, fluid natural beauty"
"17","Oil Painting","https://www.genspark.ai/aidrive/files/style_examples/17_oil_painting.jpg","Oil painting style, rich textured brushstrokes, classical fine art techniques, deep color saturation, traditional artistic medium, realistic rendering, masterful light and shadow, sophisticated artistic composition, timeless artistic quality"
"18","Pixel Art","https://www.genspark.ai/aidrive/files/style_examples/18_pixel_art.jpg","Pixel art style, 8-bit retro graphics, limited color palette, blocky digital aesthetics, video game nostalgia, crisp geometric forms, classic arcade game visuals, retro gaming culture, digital artistic precision"
"19","Surrealism","https://www.genspark.ai/aidrive/files/style_examples/19_surrealism.jpg","Surrealist art style, dreamlike imagery, impossible scenarios, subconscious exploration, bizarre juxtapositions, Salvador Dali inspired, psychedelic elements, abstract reality distortion, imaginative artistic expression, mysterious atmosphere"
"20","Glassmorphism","https://www.genspark.ai/aidrive/files/style_examples/20_glassmorphism.jpg","Glassmorphism design style, translucent glass effects, frosted glass textures, modern UI design elements, subtle transparency layers, contemporary digital aesthetics, clean minimalist approach, sophisticated material design"
"21","Coquette Aesthetic","https://www.genspark.ai/aidrive/files/style_examples/21_coquette_aesthetic.jpg","Coquette aesthetic style, feminine romantic elements, soft pink color palette, delicate lace textures, vintage boudoir inspiration, elegant flirtation themes, sophisticated feminine charm, romantic vintage fashion, dreamy gentle atmosphere"
